ModuleCode,Gender,value,DEPARTMENT
CAM0001-N,F,10,CAM
CAM0002-N,F,9,CAM
CAM1000-N,F,17,CAM
CAM1001-N,F,17,CAM
CAM1002-N,F,17,CAM
CAM1008-N,F,33,CAM
CAM1009-N,F,33,CAM
CAM1011-N,F,26,CAM
CAM1012-N,F,18,CAM
CAM1016-N,F,29,CAM
CAM1018-N,F,15,CAM
CAM1020-N,F,14,CAM
CAM1022-N,F,17,CAM
CAM1027-N,F,11,CAM
CAM1030-N,F,64,CAM
CAM1031-N,F,18,CAM
CAM1035-N,F,11,CAM
CAM1036-N,F,11,CAM
CAM2039-N,F,10,CAM
CAM2040-N,F,10,CAM
CAM4017-N,F,12,CAM
CAM4036-N,F,6,CAM
CAM4037-N,F,17,CAM
CAM4039-N,F,9,CAM
CAM4040-N,F,8,CAM
CAM4042-N,F,8,CAM
CAM4057-N,F,20,CAM
CAM4061-N,F,9,CAM
CAM4062-N,F,9,CAM
CAM4063-N,F,8,CAM
CIS0002-N,F,43,CSIS
CIS0003-N,F,47,CSIS
CIS0005-N,F,51,CSIS
CIS1001-N,F,37,CSIS
CIS1005-N,F,16,CSIS
CIS1007-N,F,39,CSIS
CIS1009-N,F,8,CSIS
CIS1010-N,F,73,CSIS
CIS1013-N,F,75,CSIS
CIS1018-N,F,180,CSIS
CIS1019-N,F,26,CSIS
CIS1020-N,F,1,CSIS
CIS2001-N,F,47,CSIS
CIS2009-N,F,11,CSIS
CIS2014-N,F,38,CSIS
CIS2015-N,F,14,CSIS
CIS2016-N,F,28,CSIS
CIS2017-N,F,88,CSIS
CIS2018-N,F,38,CSIS
CIS2019-N,F,18,CSIS
CIS2021-N,F,48,CSIS
CIS2026-N,F,38,CSIS
CIS4008-N,F,16,CSIS
CIS4009-N,F,8,CSIS
CIS4010-N,F,11,CSIS
CIS4012-N,F,39,CSIS
CIS4019-N,F,30,CSIS
CIS4020-N,F,35,CSIS
CIS4021-N,F,18,CSIS
CIS4022-N,F,18,CSIS
CIS4023-N,F,20,CSIS
CIS4037-N,F,15,CSIS
CIS4040-N,F,9,CSIS
COM3036-N,F,52,COM
COM3037-N,F,81,COM
COM3038-N,F,45,COM
COM3040-N,F,48,COM
COM3041-N,F,61,COM
COM3042-N,F,17,COM
COM3045-N,F,9,COM
COM3046-N,F,17,COM
COM3047-N,F,27,COM
COM3050-N,F,27,COM
COM3051-N,F,167,COM
COM3064-N,F,12,COM
COM3065-N,F,13,COM
COM3067-N,F,12,COM
COM4083-N,F,2,COM
COM4088-N,F,2,COM
COM4090-N,F,2,COM
DES2187-N,F,29,DES
DES2188-N,F,32,DES
DES2193-N,F,32,DES
DES3095-N,F,22,DES
DES3096-N,F,20,DES
DES4032-N,F,13,DES
GAV0002-N,F,29,GAV
GAV0003-N,F,85,GAV
GAV0004-N,F,53,GAV
GAV0005-N,F,53,GAV
GAV1001-N,F,27,GAV
GAV1002-N,F,106,GAV
GAV1003-N,F,212,GAV
GAV1004-N,F,136,GAV
GAV1005-N,F,78,GAV
GAV1006-N,F,93,GAV
