Gender,value,DEPARTMENT
F,10,CAM
F,9,CAM
F,17,CAM
F,17,CAM
F,17,CAM
F,33,CAM
F,33,CAM
F,26,CAM
F,18,CAM
F,29,CAM
F,15,CAM
F,14,CAM
F,17,CAM
F,11,CAM
F,64,CAM
F,18,CAM
F,11,CAM
F,11,CAM
F,10,CAM
F,10,CAM
F,12,CAM
F,6,CAM
F,17,CAM
F,9,CAM
F,8,CAM
F,8,CAM
F,20,CAM
F,9,CAM
F,9,CAM
F,8,CAM
F,43,CSIS
F,47,CSIS
F,51,CSIS
F,37,CSIS
F,16,CSIS
F,39,CSIS
F,8,CSIS
F,73,CSIS
F,75,CSIS
F,180,CSIS
F,26,CSIS
F,1,CSIS
F,47,CSIS
F,11,CSIS
F,38,CSIS
F,14,CSIS
F,28,CSIS
F,88,CSIS
F,38,CSIS
F,18,CSIS
F,48,CSIS
F,38,CSIS
F,16,CSIS
F,8,CSIS
F,11,CSIS
F,39,CSIS
F,30,CSIS
F,35,CSIS
F,18,CSIS
F,18,CSIS
F,20,CSIS
F,15,CSIS
F,9,CSIS
F,52,COM
F,81,COM
F,45,COM
F,48,COM
F,61,COM
F,17,COM
F,9,COM
F,17,COM
F,27,COM
F,27,COM
F,167,COM
F,12,COM
F,13,COM
F,12,COM
F,2,COM
F,2,COM
F,2,COM
F,29,DES
F,32,DES
F,32,DES
F,22,DES
F,20,DES
F,13,DES
F,29,GAV
F,85,GAV
F,53,GAV
F,53,GAV
F,27,GAV
F,106,GAV
F,212,GAV
F,136,GAV
F,78,GAV
F,93,GAV
F,15,GAV
F,182,GAV
F,14,GAV
F,58,GAV
F,252,GAV
F,41,GAV
F,21,GAV
F,8,GAV
F,26,GAV
F,51,GAV
F,59,GAV
F,69,GAV
F,49,GAV
F,13,GAV
F,93,GAV
F,8,GAV
F,52,GAV
F,65,GAV
F,98,GAV
F,12,GAV
F,38,GAV
F,136,GAV
F,94,GAV
F,70,GAV
F,68,GAV
F,13,GAV
F,43,GAV
F,5,GAV
F,178,GAV
F,43,GAV
F,12,GAV
F,13,GAV
F,220,GAV
F,43,GAV
F,2,GAV
F,39,GAV
F,147,GAV
F,53,GAV
F,38,GAV
F,2,GAV
F,52,GAV
F,18,GAV
F,18,GAV
F,37,GAV
F,36,GAV
F,49,MED
F,1,MED
F,1,MED
F,1,MED
F,26,MED
F,14,MED
F,41,MED
F,16,MED
F,46,MED
F,26,MED
F,46,MED
F,46,MED
F,32,MED
F,35,MUL
F,14,MUL
F,9,MUL
F,9,MUL
F,9,MUL
F,9,MUL
F,53,VIS
F,7,VIS
F,65,VIS
F,17,VIS
F,53,VIS
F,53,VIS
F,73,VIS
F,12,VIS
F,6,VIS
F,6,VIS
F,6,VIS
M,10,CAM
M,9,CAM
M,17,CAM
M,17,CAM
M,17,CAM
M,33,CAM
M,33,CAM
M,26,CAM
M,18,CAM
M,29,CAM
M,15,CAM
M,14,CAM
M,17,CAM
M,11,CAM
M,64,CAM
M,18,CAM
M,11,CAM
M,11,CAM
M,10,CAM
M,10,CAM
M,2,CAM
M,12,CAM
M,6,CAM
M,17,CAM
M,9,CAM
M,8,CAM
M,8,CAM
M,20,CAM
M,9,CAM
M,9,CAM
M,8,CAM
M,43,CSIS
M,47,CSIS
M,51,CSIS
M,37,CSIS
M,16,CSIS
M,39,CSIS
M,8,CSIS
M,73,CSIS
M,75,CSIS
M,180,CSIS
M,26,CSIS
M,47,CSIS
M,11,CSIS
M,38,CSIS
M,14,CSIS
M,28,CSIS
M,88,CSIS
M,38,CSIS
M,18,CSIS
M,48,CSIS
M,38,CSIS
M,16,CSIS
M,8,CSIS
M,11,CSIS
M,39,CSIS
M,30,CSIS
M,35,CSIS
M,18,CSIS
M,18,CSIS
M,20,CSIS
M,2,CSIS
M,15,CSIS
M,9,CSIS
M,52,COM
M,81,COM
M,45,COM
M,48,COM
M,61,COM
M,17,COM
M,9,COM
M,17,COM
M,27,COM
M,27,COM
M,167,COM
M,12,COM
M,13,COM
M,12,COM
M,1,COM
M,2,COM
M,2,COM
M,2,COM
M,29,DES
M,32,DES
M,32,DES
M,22,DES
M,20,DES
M,13,DES
M,21,GAV
M,29,GAV
M,85,GAV
M,53,GAV
M,53,GAV
M,27,GAV
M,106,GAV
M,212,GAV
M,136,GAV
M,78,GAV
M,93,GAV
M,15,GAV
M,182,GAV
M,14,GAV
M,58,GAV
M,252,GAV
M,41,GAV
M,21,GAV
M,8,GAV
M,26,GAV
M,51,GAV
M,59,GAV
M,69,GAV
M,49,GAV
M,13,GAV
M,93,GAV
M,8,GAV
M,52,GAV
M,65,GAV
M,98,GAV
M,12,GAV
M,38,GAV
M,136,GAV
M,94,GAV
M,70,GAV
M,68,GAV
M,13,GAV
M,43,GAV
M,5,GAV
M,178,GAV
M,43,GAV
M,12,GAV
M,13,GAV
M,220,GAV
M,43,GAV
M,39,GAV
M,147,GAV
M,53,GAV
M,38,GAV
M,52,GAV
M,18,GAV
M,18,GAV
M,37,GAV
M,36,GAV
M,49,MED
M,26,MED
M,14,MED
M,41,MED
M,16,MED
M,46,MED
M,26,MED
M,46,MED
M,46,MED
M,32,MED
M,35,MUL
M,14,MUL
M,9,MUL
M,9,MUL
M,9,MUL
M,9,MUL
M,4,MUL
M,4,MUL
M,4,MUL
M,20,PER
M,4,PER
M,24,PER
M,4,PER
M,20,PER
M,53,VIS
M,7,VIS
M,65,VIS
M,17,VIS
M,53,VIS
M,53,VIS
M,73,VIS
M,12,VIS
M,6,VIS
M,6,VIS
M,1,VIS
M,6,VIS
